#
# file: pedgrp.dat
# description: contains the list of ped groups for each group type. Each ped
#	group should contain 32 ped type names. Please dont use 'male01' in any of the pedgroups
#

 	  
SWMYHP1, SWMYHP2, WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN		# POPCYCLE_GROUP_PARKFOLK (SF)
WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN, WFYBE, BFYBE			# POPCYCLE_GROUP_PARKFOLK (VEGAS)

BFORI, BFYRI, BMORI, BMYRI, HFORI, HFYRI, HMORI, HMYRI, OFORI, OMYRI, OMORI, OFYRI, WFYRI, WMYRI, WMORI, WFORI, WMYBU, WFYBU 				# POPCYCLE_GROUP_CASUAL_RICH
SBFORI, SBFYRI, SBMORI, SBMYRI, HFORI, HFYRI, HMORI, HMYRI, SOFORI, SOMYRI, SOMORI, SOFYRI, SWFYRI, SWMYRI, SWMORI, SWFORI, WMYBU, WFYBU 	# POPCYCLE_GROUP_CASUAL_RICH (SF)
BFORI, BFYRI, BMORI, BMYRI, HFORI, HFYRI, HMORI, HMYRI, OFORI, OMYRI, OMORI, OFYRI, WFYRI, WMYRI, WMORI, WFORI, WMYBU, WFYBU, WMYVA 		# POPCYCLE_GROUP_CASUAL_RICH (VEGAS)

BMYDJ, BFYST, BMYST, BFOST, OMOST, OFYST, OMYST, HFYST, HMYST, HMOST, WFYST, WMYST, WMOST, SMYST, SMYST2 				# POPCYCLE_GROUP_CASUAL_AVERAGE
SBMOST, SBFYST, SBMYST, SOMOST, SOFYST, SOMYST, HFYST, HMYST, HMOST, SWFYST, SWMYST, WMOST				 				# POPCYCLE_GROUP_CASUAL_AVERAGE (SF)
BFYST, BMYST, OMOST, OFYST, OMYST, HFYST, HMYST, HMOST, WFYST, WMYST, WMOST							 					# POPCYCLE_GROUP_CASUAL_AVERAGE (VEGAS)

BFYST, BMYST, BMOTR1, BMYDJ, BMOST, HFYST, HMYST, HMOST, HFOST, OMYST, OFYST, OFOST, OMOST, OFYST, OMYST, WFYST, WFYST, WMYST, WMOST, WFOST, WMOTR1  								# POPCYCLE_GROUP_CASUAL_POOR
SBFOST, SBFYST, SBMYST, SOMYST, SOFYST, SOFOST, SOMOST, SOFYST, SOMYST, SWFYST, SWMOST, SWFOST, SWMYHP1, SWMYHP2, SBMOTR2, SWMOTR1, SWMOTR2, SWMOTR3, SBMYTR3, SWMOTR4, SWMOTR5		# POPCYCLE_GROUP_CASUAL_POOR (SF)
VWMYCD, BMOST, BFYST, BMYST, HFYST, HMYST, HMOST, HFOST, OMYST, OFYST, OFOST, OMOST, OFYST, OMYST, WFYST, WFYST, WMYST, WMOST, VWMOTR1, VWMOTR2  									# POPCYCLE_GROUP_CASUAL_POOR (VEGAS)


BFYPRO, HFYPRO, WFYPRO, SFYPRO	  	# POPCYCLE_GROUP_PROSTITUTES
SWFOPRO, SBFYPRO, SHFYPRO 		  	# POPCYCLE_GROUP_PROSTITUTES (SF)
VWFYPRO, VBFYPRO, VHFYPRO			# POPCYCLE_GROUP_PROSTITUTES (VEGAS)

BMYCR, HMYCR #, WMYCR  		# POPCYCLE_GROUP_CRIMINALS
SBMYCR, SHMYCR, SWMYCR		# POPCYCLE_GROUP_CRIMINALS (SF)
VBMYCR, VHMYCR, VWMYCR  	# POPCYCLE_GROUP_CRIMINALS (VEGAS)

WMYGOL1, WMYGOL2		# POPCYCLE_GROUP_GOLFERS

WMYVA, WBDYG1, WBDYG2, HMOGAR		# POPCYCLE_GROUP_SERVANTS
WMYVA, WBDYG1, WBDYG2, HMOGAR		# POPCYCLE_GROUP_SERVANTS
WMYVA, WBDYG1, WBDYG2, HMOGAR		# POPCYCLE_GROUP_SERVANTS

BMYAP, WMYPLT, WFYSTEW			# POPCYCLE_GROUP_AIRCREW
BMYAP, WMYPLT, WFYSTEW			# POPCYCLE_GROUP_AIRCREW
BMYAP, WMYPLT, WFYSTEW		 	# POPCYCLE_GROUP_AIRCREW

BMYDJ			   				# POPCYCLE_GROUP_ENTERTAINERS
BMYDJ		 	  				# POPCYCLE_GROUP_ENTERTAINERS
VHMYELV, VBMYELV, VIMYELV		# POPCYCLE_GROUP_ENTERTAINERS

WMYCON, WMYCONB, WMYMECH		# POPCYCLE_GROUP_OUT_OF_TOWN_FACTORY_WORKERS

DWFOLC, DWFYLC1, DWFYLC2, DWMOLC1, DWMOLC2, DWMYLC1, DWMYLC2, DNFOLC1, DNFOLC2, DNFYLC, DNMOLC1, DNMOLC2, DNMYLC		# POPCYCLE_GROUP_DESERT_FOLK

BMYAP, WMYPLT, WFYSTEW			# POPCYCLE_GROUP_AIRCREW_RUNWAY

BALLAS1, BALLAS2, BALLAS3					# Gang 1 (BALLAS - Rival Black Gang - AKA FLATS)

FAM1, FAM2, FAM3							# Gang 2 (THE FAMILIES - PLAYER GANG - AKA GROVE)

LSV1, LSV2, LSV3							# Gang 3 ( Los Santos Vagos - AKA Northside Mexicans)

SFR1, SFR2, SFR3							# Gang 4  (San Fiero Rifa - proper models: SFR1, SFR2, SFR3)

DNB1, DNB2, DNB3							# Gang 5 (Da Nang Boys  - AKA Vietnamese)

VMAFF1, VMAFF2, VMAFF3, VMAFF4				# Gang 6 (ITALIAN MAFIA)

TRIADA, TRIADB, TRIBOSS						# Gang 7 (TRIADS)
 
VLA1, VLA2, VLA3   							# Gang 8  (Varrio Los Aztecas - AKA SOUTH SIDE MEXICAN)

MAFFA, MAFFB, MAFBOSS        					 # Gang 9  (Russian Mafia)

WMYCR, BIKERA, BIKERB         					 # Gang 10  (SA Bikers)

BMYDRUG, WMYDRUG, HMYDRUG, BIKDRUG		   	# Dealers

WMYBU, BMYBU								# Shopkeepers

WMYBU, WFYBU, SOFYBU, BMYBU,BFYBU			# Office workers

BMYBU, BMYCR, HMORI, OMOST, SWMYHP1			# Husbands
                      
WFYRI, WFYST, HFYST, WFYRI ,BFYBU , SOFYBU, BFYRI		# Wives





 
                                    	

         	
	 	 
	 
		 

         	


 
	 




	 
		 

	

	 
	 
	 	 
	 
	 
	 
	
	 
	 
	


		
		 
		 
		 
	 	 
 	 	 
	 	 
	  
          	 	 
	  
 	 	 

	
   
       		 
		 
    	 	 
 	 	 
 	 	 
 	 	 
	 	 



